class,year,month,day
336,2016,3,31
352,2016,3,30
356,2016,3,29
354,2016,3,28
353,2016,3,24
352,2016,3,23
352,2016,3,22
352,2016,3,21
349,2016,3,18
350,2016,3,17
350,2016,3,16
350,2016,3,15
350,2016,3,14
346,2016,3,11
344,2016,3,10
342,2016,3,9
342,2016,3,8
341,2016,3,7
341,2016,3,4
341,2016,3,3
341,2016,3,2
343,2016,3,1
344,2016,2,29
345,2016,2,26
347,2016,2,25
351,2016,2,24
355,2016,2,23
361,2016,2,22
358,2016,2,19
357,2016,2,18
358,2016,2,17
353,2016,2,16
352,2016,2,12
354,2016,2,11
354,2016,2,10
356,2016,2,9
356,2016,2,8
360,2016,2,5
364,2016,2,4
367,2016,2,3
367,2016,2,2
367,2016,2,1
